1.000000000000000056e-01,1.106452896324410240e+00
9.951667394941549061e-02,1.107741537387882724e+00
9.805706896700280839e-02,1.110772678932096191e+00
9.559216995985805876e-02,1.115103482437645122e+00
9.207317596709521657e-02,1.120528348144129493e+00
8.743085227917800351e-02,1.126925417550903141e+00
8.157462989714849011e-02,1.134215885918329558e+00
7.439138335114120482e-02,1.142344623743063003e+00
6.574363902850893782e-02,1.151268106066140495e+00
5.546654804270964578e-02,1.160945442135139505e+00
4.336202005596814790e-02,1.171330986978407651e+00
2.918626834022416960e-02,1.182368102335292104e+00
1.262167297127617105e-02,1.193984218772622174e+00
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
3.172704061191383706e-02,1.180469549266996765e+00
4.553487865329555739e-02,1.169537402535838266e+00
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
9.607877846980812653e-02,1.114294530600321353e+00
9.837172617631477489e-02,1.110164580244339394e+00
9.966571182042671673e-02,1.107383387082562232e+00
9.998692909927166250e-02,1.106504764603353896e+00
9.934005472393256375e-02,1.108146973902939481e+00
nan,nan
nan,nan
9.137322993827190487e-02,1.121538552471208039e+00
8.653383396502989378e-02,1.128090525804023914e+00
nan,nan
nan,nan
nan,nan
5.356498567280845724e-02,1.162643584466715119e+00
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
